event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-01-01 00:34:35 UTC,view,5743974,1487580013053083824,stationery.cartrige,italwax,1.98,595418733,f2bba423-600f-491d-92e8-975dc3a4b311
2020-01-01 00:36:16 UTC,view,5743974,1487580013053083824,stationery.cartrige,italwax,1.98,595418733,f2bba423-600f-491d-92e8-975dc3a4b311
2020-01-01 00:44:22 UTC,cart,5856191,1487580006350586771,appliances.environment.vacuum,runail,24.44,530095744,5f9a463e-c3d3-4879-8237-cc88f3225a6f
2020-01-01 01:16:00 UTC,view,5885596,1487580006350586771,appliances.environment.vacuum,polarus,102.38,459117441,9ea2e135-cbcc-4c79-897b-cd1db49b27c7
2020-01-01 01:25:02 UTC,cart,5824195,2007399943458784057,apparel.glove,domix,0.94,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020-01-01 01:26:04 UTC,view,5885592,1487580006350586771,appliances.environment.vacuum,polarus,59.52,231166811,3a4885c8-eed1-4f81-93a4-8934e6659ce7
2020-01-01 01:55:19 UTC,view,5856193,2193074740619379535,furniture.living_room.cabinet,runail,82.54,542094936,43cbf4d6-6650-4b1a-b4dd-0abf2c910ab3
2020-01-01 02:05:18 UTC,view,5854574,1487580006350586771,appliances.environment.vacuum,jessnail,21.43,575961087,5581429a-6a67-4fb3-bd64-9cec04d40055
2020-01-01 02:22:03 UTC,view,5830789,1487580010695884882,accessories.bag,vosev,62.7,591426627,9857f406-90b9-48a6-a820-bc2ad7301fe0
2020-01-01 03:35:12 UTC,view,5809118,1487580008070251489,appliances.personal.hair_cutter,jaguar,89.16,450855234,22770e7a-19d0-4368-bfe6-3182efcfd95c
2020-01-01 03:53:19 UTC,cart,5766983,1487580013053083824,stationery.cartrige,italwax,2.14,595442596,bbe4011e-b744-411b-93e9-a2049bd9f8bf
2020-01-01 04:33:37 UTC,cart,5901858,2007399943458784057,apparel.glove,benovy,5.62,474354201,5dd053ae-df03-4cf1-96eb-dbb0497e0a5e
2020-01-01 04:43:35 UTC,view,5856192,1487580006350586771,appliances.environment.vacuum,runail,24.44,595450114,a5b57402-dba8-4e86-833b-37a970fd835a
2020-01-01 05:13:10 UTC,view,5855507,1487580006350586771,appliances.environment.vacuum,max,79.21,473934988,b9d6ad00-9067-4866-b0d7-f72d12fa9df6
2020-01-01 05:13:53 UTC,view,5877459,1487580006350586771,appliances.environment.vacuum,jessnail,21.43,473934988,b9d6ad00-9067-4866-b0d7-f72d12fa9df6
